AssosciatedSharedBridgeId,BridgeId,AssignedBridgeCount
76bfc6c8-7efd-45d3-a2d4-8522c2f9d699,00001150a05347ff866b57e8039b504f,2300
2fcf0782-1016-42eb-9cc8-7a31a2690b75,0000277da1074ca99c1e364b5e8bbf0e,2300
9e772125-8277-41d5-9aa3-47b0f40449c6,00002c6569234d18b154605fd0c2c151,2300
b3176094-11e9-49c4-921d-fde783dd60ad,0000614d518a4c0cb7296f9a1d495654,2300
0c4b84c1-c2b3-4cdc-ae10-579a3a60f8e0,00008976073e4646af2f882a58e38d8b,2300
a5e0eff1-25ad-4b57-9e09-657125606fef,00009c217b844958a471c52e97466f08,2300
753a9794-8ebb-4d16-8ee7-d54837987a07,0000c899228f49e194322d3825c7493a,2300
00000000-0000-0000-0000-000000000000,0000f47e00314cda9d9365221e26c8ae,2300
770c3048-4375-429a-9f3d-223720f98434,000110219422475ca48766ae7540601a,2300
5344d259-3341-4363-99f2-877e895f519b,00011e076f814d3b88e35e69d56dd709,2300
00000000-0000-0000-0000-000000000000,00012d84f6904dfd8172f1559623671c,2300
00000000-0000-0000-0000-000000000000,000131f75b97439eb907eab74d0cc918,2300
00000000-0000-0000-0000-000000000000,000139d9567c4932bb5709869b9e533c,2300
00000000-0000-0000-0000-000000000000,0001458369054671a69c5020f9087ab6,2300
878bb034-2b41-4978-b909-abb9e1736ec2,00015a4262514af9ab0f8a8fc7ee40e2,2300
0bfef548-89c4-456a-b102-c1ce1b5c059d,0001620c9be949dbb087979127d1c8ca,2300
b01712ef-e2cf-4a1b-a965-a7b583446b26,0001b52b84424bc1a85b3fe17d57d2e4,2300
a13e4591-679b-4145-989d-fdf76e8f4a78,0001be6051b04298bf64151a49104038,2300
061f0749-83d9-46dd-90b1-81ff99177ba2,0001bee6e00148fdbf312900dfd6d892,2300
72366422-d119-4f38-94e4-e57e50273130,0001ca18bc264676afda63822ac22e65,2300
00000000-0000-0000-0000-000000000000,0001e12e4cf94987b513d9de1ee76095,2300
00000000-0000-0000-0000-000000000000,0001ee690d174b12a28ad36ee3ef63c4,2300
853c8834-1f7a-42dc-afb2-d17fb5550116,0001f09a17f0443297a968e32ee4b232,2300
