AssosciatedSharedBridgeId,BridgeId,TenantId,AssignedBridgeCount
76bfc6c8-7efd-45d3-a2d4-8522c2f9d699,00001150a05347ff866b57e8039b504f,8ca9f744-382d-4cd2-b0de-68904ba0af5d,2300
2fcf0782-1016-42eb-9cc8-7a31a2690b75,0000277da1074ca99c1e364b5e8bbf0e,66d175ae-b3b8-4ee2-9f10-76a80fd0c434,2300
9e772125-8277-41d5-9aa3-47b0f40449c6,00002c6569234d18b154605fd0c2c151,d99503d8-ce42-4727-b60c-4e6ef2b8e75f,2300
b3176094-11e9-49c4-921d-fde783dd60ad,0000614d518a4c0cb7296f9a1d495654,332103db-e598-4625-a53e-05951de18aae,2300
0c4b84c1-c2b3-4cdc-ae10-579a3a60f8e0,00008976073e4646af2f882a58e38d8b,978950e0-e6dc-4b6b-85c7-fecf8dd03a54,2300
a5e0eff1-25ad-4b57-9e09-657125606fef,00009c217b844958a471c52e97466f08,4c07144c-a599-4851-8d61-a573452197fb,2300
753a9794-8ebb-4d16-8ee7-d54837987a07,0000c899228f49e194322d3825c7493a,6164db2e-a66e-47bd-a6c6-f0c291b031ba,2300
00000000-0000-0000-0000-000000000000,0000f47e00314cda9d9365221e26c8ae,afce1664-e8c0-477e-a5df-002b2a288bb9,2300
770c3048-4375-429a-9f3d-223720f98434,000110219422475ca48766ae7540601a,c629343e-2b38-43fb-81d1-38962e69e93e,2300
5344d259-3341-4363-99f2-877e895f519b,00011e076f814d3b88e35e69d56dd709,39275e64-96bf-4933-91c7-c7d9fd0f729d,2300
00000000-0000-0000-0000-000000000000,00012d84f6904dfd8172f1559623671c,afce1664-e8c0-477e-a5df-002b2a288bb9,2300
00000000-0000-0000-0000-000000000000,000131f75b97439eb907eab74d0cc918,afce1664-e8c0-477e-a5df-002b2a288bb9,2300
00000000-0000-0000-0000-000000000000,000139d9567c4932bb5709869b9e533c,afce1664-e8c0-477e-a5df-002b2a288bb9,2300
00000000-0000-0000-0000-000000000000,0001458369054671a69c5020f9087ab6,afce1664-e8c0-477e-a5df-002b2a288bb9,2300
878bb034-2b41-4978-b909-abb9e1736ec2,00015a4262514af9ab0f8a8fc7ee40e2,dfb14e8a-82c1-4e45-ba2d-a3cf184a0773,2300
0bfef548-89c4-456a-b102-c1ce1b5c059d,0001620c9be949dbb087979127d1c8ca,842086cb-92ef-4188-b7af-06bb72d67439,2300
b01712ef-e2cf-4a1b-a965-a7b583446b26,0001b52b84424bc1a85b3fe17d57d2e4,113e3d64-7ace-4867-a828-3aceb35f16a2,2300
a13e4591-679b-4145-989d-fdf76e8f4a78,0001be6051b04298bf64151a49104038,2dbb1313-2f13-49b8-b5c2-3f086eae7db7,2300
061f0749-83d9-46dd-90b1-81ff99177ba2,0001bee6e00148fdbf312900dfd6d892,6002fa3b-9cec-4c79-ad94-7e112b0479c9,2300
72366422-d119-4f38-94e4-e57e50273130,0001ca18bc264676afda63822ac22e65,9f43a1c6-f8af-4630-bf69-fdaa344d91bc,2300
00000000-0000-0000-0000-000000000000,0001e12e4cf94987b513d9de1ee76095,afce1664-e8c0-477e-a5df-002b2a288bb9,2300
00000000-0000-0000-0000-000000000000,0001ee690d174b12a28ad36ee3ef63c4,afce1664-e8c0-477e-a5df-002b2a288bb9,2300
853c8834-1f7a-42dc-afb2-d17fb5550116,0001f09a17f0443297a968e32ee4b232,3e334762-b0c6-4c36-9faf-93800f0d6c71,2300
5af80554-bde1-4f8b-bb36-3aa32a6cdba3,0002298d51ae453cb6af8868fd6e8066,049f62ea-6d3d-4300-b73a-f1be1ade135f,2300
89957b06-f5d4-45bd-a3d1-5e2866a0e6c6,00022ab122e544febfa115e97783ca8d,bda90b3e-bc4d-4e0b-a0ca-d0dc0b5e58d8,2300
5344d259-3341-4363-99f2-877e895f519b,00025847c161404f8fc50bd2a38d3bb8,2386ecf9-ef7b-47b6-9b5b-aaebe50ce4f6,2300
00000000-0000-0000-0000-000000000000,00026902bf6f45b5a1e334e14cf8c998,afce1664-e8c0-477e-a5df-002b2a288bb9,2300
93d0a894-11d1-4e5a-bb0f-33cb8a1a7c48,0002b421e9ce44c98f3ea120aa25530e,8b91d2b5-c2c1-43b1-bc56-27688b191c8e,2300
bfb7a2cf-5dcc-4dde-8e25-5fc58059c145,0002d51a217c4661ba6791ab8231ec86,16c416d0-523e-44fb-9d40-fb022228ad2b,2300
